fIndex,fname,label,response,session,t_start,t_end,t_resp,subID,pitch,mfcc,mel,scentroid,harm,intensity,xvec,lang,changeIns
96,./playback/STIMULI/chinese/wavFilesTest/BAC009S0729W0483_BAC009S0729W0320_04_55_nspkrs_1.wav,1,1,TEST,0.0,7.462999999999999,8.112,1,14.740259083424064,17.533060971647238,18.577944901357306,100.25903497878937,0.937738598263663,0.56539187766775,29.18490418777087,0,4.55
37,./playback/STIMULI/chinese/wavFilesTest/BAC009S0090W0286_BAC009S0109W0462_04_92_nspkrs_2.wav,2,2,TEST,0.0,9.927999999999999,9.959,1,4.661510099441671,21.797942726670332,23.62966575918925,9.88189230628717,1.1232866651262619,0.13175868548155734,37.38936786404585,0,4.92
38,./playback/STIMULI/chinese/wavFilesTest/BAC009S0090W0373_BAC009S0090W0327_03_45_nspkrs_1.wav,1,1,TEST,0.0,7.811,8.294,1,2.4551329087126987,8.887981140705161,10.652860681246139,17.506271610487488,1.9174363625314381,0.2688465210243862,28.468503362500165,0,3.45
101,./playback/STIMULI/chinese/wavFilesTest/BAC009S0752W0201_BAC009S0752W0194_03_17_nspkrs_1.wav,1,1,TEST,0.0,7.999,9.139,1,25.361689688074392,19.806651076863943,29.972635455079764,43.26787980323763,3.964520887602081,0.25469123627158297,33.250517866823394,0,3.17
54,./playback/STIMULI/chinese/wavFilesTest/BAC009S0138W0364_BAC009S0138W0356_03_04_nspkrs_1.wav,1,1,TEST,0.0,7.135,7.835,1,42.72385304336683,29.957554084618945,36.34233451180736,21.278342054598625,4.44672036325507,0.18905605404097514,35.76907826548387,0,3.04
69,./playback/STIMULI/chinese/wavFilesTest/BAC009S0197W0310_BAC009S0744W0178_03_45_nspkrs_2.wav,2,2,TEST,0.0,7.0089999999999995,9.416,1,13.355154840133025,26.027558183995005,30.65311485396447,89.8693335447968,0.19900175259984287,0.08671342312548802,35.8942097521852,0,3.45
46,./playback/STIMULI/chinese/wavFilesTest/BAC009S0117W0303_BAC009S0123W0335_05_00_nspkrs_2.wav,2,2,TEST,0.0,10.091000000000001,10.709000000000001,1,23.43967068379078,49.21312567545538,50.19325542568392,226.79170207283573,1.4628167498713154,2.4392189489881986,46.08776545959425,0,5.0
102,./playback/STIMULI/chinese/wavFilesTest/BAC009S0759W0192_BAC009S0763W0147_04_14_nspkrs_2.wav,2,2,TEST,0.0,8.383,9.515,1,10.348298926526581,38.91063002916754,39.957327305704155,182.78674365278488,1.477765215762366,0.8833993039532402,40.950165813686795,0,4.14
88,./playback/STIMULI/chinese/wavFilesTest/BAC009S0422W0435_BAC009S0727W0193_03_00_nspkrs_2.wav,2,2,TEST,0.0,6.101,6.446000000000001,1,34.684234392350646,32.889466239749346,35.19069344213773,68.03747653736048,3.4362430126321595,0.3691249744737206,49.94345987683999,0,3.0
93,./playback/STIMULI/chinese/wavFilesTest/BAC009S0661W0448_BAC009S0661W0338_03_86_nspkrs_1.wav,1,2,TEST,0.0,6.607,7.5760000000000005,1,10.277153857802034,39.92846172591276,40.460717709095356,90.76514217719142,3.8762001343448222,2.3841470540731677,36.79965212601267,0,3.86
92,./playback/STIMULI/chinese/wavFilesTest/BAC009S0601W0275_BAC009S0716W0469_03_73_nspkrs_2.wav,2,2,TEST,0.0,7.564,8.975,1,4.074982251522883,34.45562389828538,39.53923310156956,22.801912522791326,1.2424947116006706,3.1089348324550343,55.79265684086504,0,3.73
67,./playback/STIMULI/chinese/wavFilesTest/BAC009S0195W0174_BAC009S0204W0372_04_52_nspkrs_2.wav,2,2,TEST,0.0,9.14,9.713,1,5.246838409371264,34.80615271067633,37.43171096829123,26.959698140435535,1.1336383412258186,1.8493248128991127,46.3327204936159,0,4.52
77,./playback/STIMULI/chinese/wavFilesTest/BAC009S0232W0412_BAC009S0363W0133_04_42_nspkrs_2.wav,2,2,TEST,0.0,8.07,8.476,1,3.158638434865452,32.292546414600096,34.14966850403633,25.061550831853538,1.9317881519841222,1.549231938576554,42.979808120169,0,4.42
76,./playback/STIMULI/chinese/wavFilesTest/BAC009S0221W0390_BAC009S0221W0360_02_68_nspkrs_1.wav,1,1,TEST,0.0,5.652,6.224,1,11.689819391468802,23.629872696861877,26.559549667356812,34.774141108911294,2.8409469904277422,2.415624051616902,36.556727891494354,0,2.68
34,./playback/STIMULI/chinese/wavFilesTest/BAC009S0085W0438_BAC009S0119W0152_03_70_nspkrs_2.wav,2,2,TEST,0.0,7.4910000000000005,8.243,1,8.110737045932979,43.16564466234385,44.1506274137632,277.1613942836369,4.283528306006829,2.024580162895191,55.54256309316928,0,3.7
106,./playback/STIMULI/chinese/wavFilesTest/BAC009S0916W0467_BAC009S0916W0386_03_18_nspkrs_1.wav,1,1,TEST,0.0,6.257999999999999,7.1770000000000005,1,9.95481887478789,29.719494012042485,30.850074938068403,77.32621998458137,1.382288298198855,0.8886536467100115,34.26138593504712,0,3.18
50,./playback/STIMULI/chinese/wavFilesTest/BAC009S0125W0128_BAC009S0170W0274_02_88_nspkrs_2.wav,2,2,TEST,0.0,7.276,9.854,1,16.748966109981893,30.73470789747174,35.505960363955246,87.98096778047739,2.198760963456886,0.07582244246376035,44.634012006895325,0,2.88
82,./playback/STIMULI/chinese/wavFilesTest/BAC009S0339W0421_BAC009S0339W0196_03_63_nspkrs_1.wav,1,1,TEST,0.0,7.757000000000001,8.213,1,29.103566448531865,27.906117401562035,30.962635447497153,159.7472177254341,1.7632564181555246,4.52417124107177,36.36733649707682,0,3.63
80,./playback/STIMULI/chinese/wavFilesTest/BAC009S0249W0357_BAC009S0249W0241_03_63_nspkrs_1.wav,1,1,TEST,0.0,7.397,7.962000000000001,1,9.679268456789913,21.133510478223393,22.027401069364608,116.81029258963065,1.3387909773038036,3.2919997556346487,34.58077043767511,0,3.63
73,./playback/STIMULI/chinese/wavFilesTest/BAC009S0210W0307_BAC009S0352W0139_03_22_nspkrs_2.wav,2,1,TEST,0.0,8.148,10.703,1,10.823290194892195,26.622768397893104,28.944242012322615,123.24188570816716,0.9381749097754195,1.5836902657100467,39.736425124921276,0,3.22
105,./playback/STIMULI/chinese/wavFilesTest/BAC009S0902W0425_BAC009S0902W0208_03_61_nspkrs_1.wav,1,1,TEST,0.0,8.097999999999999,10.038,1,9.82709785453244,26.107468997101265,27.02231817270935,61.36650527551069,0.40545322426721064,2.376092788895562,31.486366113278606,0,3.61
56,./playback/STIMULI/chinese/wavFilesTest/BAC009S0141W0417_BAC009S0141W0289_02_99_nspkrs_1.wav,1,1,TEST,0.0,7.885,8.252,1,27.096964946079368,21.35084917306881,26.94752917296281,154.45529489590626,2.9057454129655493,0.8238822284432814,34.80351075166472,0,2.99
61,./playback/STIMULI/chinese/wavFilesTest/BAC009S0167W0471_BAC009S0660W0299_04_90_nspkrs_2.wav,2,2,TEST,0.0,9.908,10.822000000000001,1,3.7092408562971,12.934479989913848,17.29730840892941,109.73839020733266,1.277673984953191,0.1849534197933309,32.49200617009856,0,4.9
