fIndex,fname,label,response,session,t_start,t_end,t_resp,subID,pitch,mfcc,mel,scentroid,harm,intensity,xvec,lang,changeIns,RT,incorrect
100,./playback/STIMULI/chinese/wavFilesTest/BAC009S0743W0407_BAC009S0743W0382_02_56_nspkrs_1.wav,1,1,TEST,0.0,6.2360000000000015,6.572,19,3.667108239524538,13.625437095490494,17.66931990873678,66.78150855066815,1.1032135992087166,2.254204913222381,37.25377971626549,0,2.56,0.3359999999999985,0
20,./playback/STIMULI/chinese/wavFilesTest/BAC009S0059W0167_BAC009S0117W0410_03_10_nspkrs_2.wav,2,2,TEST,0.0,6.255,6.255,19,4.598530163726196,22.47108016035145,25.76473771407162,91.53770985899887,0.6378671446578608,1.1418182246987527,50.747294558846356,0,3.1,0.0,0
78,./playback/STIMULI/chinese/wavFilesTest/BAC009S0242W0494_BAC009S0242W0152_04_77_nspkrs_1.wav,1,1,TEST,0.0,8.467,8.83,19,13.499378028469096,27.043057339271613,29.919701328023145,230.6747781673381,1.9438824749492982,1.0147303525935314,37.3172561882188,0,4.77,0.36299999999999955,0
106,./playback/STIMULI/chinese/wavFilesTest/BAC009S0916W0467_BAC009S0916W0386_03_18_nspkrs_1.wav,1,1,TEST,0.0,6.234,6.688,19,9.954818874787891,29.719494012042485,30.850074938068403,77.32621998458137,1.382288298198855,0.8886536467100115,34.26138593504712,0,3.18,0.45399999999999974,0
54,./playback/STIMULI/chinese/wavFilesTest/BAC009S0138W0364_BAC009S0138W0356_03_04_nspkrs_1.wav,1,1,TEST,0.0,7.1160000000000005,8.087,19,42.72385304336683,29.957554084618945,36.34233451180736,21.278342054598625,4.4467203632550705,0.18905605404097514,35.76907826548386,0,3.04,0.9709999999999992,0
18,./playback/STIMULI/chinese/wavFilesTest/BAC009S0050W0308_BAC009S0050W0275_04_85_nspkrs_1.wav,1,1,TEST,0.0,8.072000000000001,8.347999999999999,19,8.546695934302619,17.957006053413227,19.057267537285703,121.49085554057376,1.058247705311384,1.912685056006751,36.90952043428069,0,4.85,0.275999999999998,0
103,./playback/STIMULI/chinese/wavFilesTest/BAC009S0901W0266_BAC009S0901W0192_02_88_nspkrs_1.wav,1,1,TEST,0.0,6.187,6.997999999999998,19,32.52787790799283,39.28340814208912,40.38073059506666,238.89253635770928,3.023073530202028,1.044413991902573,35.18097802324256,0,2.88,0.8109999999999982,0
52,./playback/STIMULI/chinese/wavFilesTest/BAC009S0130W0243_BAC009S0230W0296_02_78_nspkrs_2.wav,2,2,TEST,0.0,5.638,5.72,19,12.944616817064171,35.9326135301119,39.876686257271295,331.83839889501036,1.2071574414783246,3.6952229991245247,52.79589885382871,0,2.78,0.08199999999999985,0
9,./playback/STIMULI/chinese/wavFilesTest/BAC009S0036W0376_BAC009S0036W0336_03_34_nspkrs_1.wav,1,1,TEST,0.0,8.324,8.754,19,1.6142605110378128,18.12668382864884,18.455999366141885,1.6845611777881118,1.487127941886328,0.5338875789037019,28.87770776827423,0,3.34,0.4299999999999997,0
73,./playback/STIMULI/chinese/wavFilesTest/BAC009S0210W0307_BAC009S0352W0139_03_22_nspkrs_2.wav,2,1,TEST,0.0,8.117,8.562999999999999,19,10.823290194892195,26.622768397893104,28.944242012322608,123.24188570816715,0.9381749097754196,1.583690265710047,39.736425124921276,0,3.22,0.44599999999999795,1
63,./playback/STIMULI/chinese/wavFilesTest/BAC009S0185W0372_BAC009S0185W0370_03_82_nspkrs_1.wav,1,1,TEST,0.0,6.886,7.346,19,56.67504778532546,44.12824607500527,53.9372265201342,272.51978926890615,6.016915027573246,3.973707128518768,36.80663791057303,0,3.82,0.45999999999999996,0
41,./playback/STIMULI/chinese/wavFilesTest/BAC009S0093W0203_BAC009S0106W0233_03_05_nspkrs_2.wav,2,2,TEST,0.0,6.162000000000001,6.624,19,12.696084392243733,31.591810669750036,32.80855309741198,60.57412989858671,2.3479011987107583,2.295900897224272,47.97178371550642,0,3.05,0.46199999999999886,0
19,./playback/STIMULI/chinese/wavFilesTest/BAC009S0052W0186_BAC009S0084W0412_03_80_nspkrs_2.wav,2,2,TEST,0.0,6.442,6.859,19,10.377835586584396,26.837542007260556,28.804985176781468,154.20431504399562,4.115481937070328,2.036764493515548,40.7146749296763,0,3.8,0.4169999999999998,0
98,./playback/STIMULI/chinese/wavFilesTest/BAC009S0734W0238_BAC009S0905W0174_04_15_nspkrs_2.wav,2,2,TEST,0.0,8.378,8.647,19,1.7840230112432494,33.17905521704966,34.46763993616706,139.01396464550163,1.4457131282173936,1.7628820126261502,35.32924368561795,0,4.15,0.26900000000000013,0
35,./playback/STIMULI/chinese/wavFilesTest/BAC009S0089W0196_BAC009S0705W0255_04_30_nspkrs_2.wav,2,1,TEST,0.0,7.605,8.033,19,7.011761318110674,18.52482222910993,19.38616716421837,144.0357573869351,2.2080807478931703,0.1234432953215645,51.20181019613288,0,4.3,0.42799999999999905,1
92,./playback/STIMULI/chinese/wavFilesTest/BAC009S0601W0275_BAC009S0716W0469_03_73_nspkrs_2.wav,2,2,TEST,0.0,7.532999999999999,7.7970000000000015,19,4.074982251522883,34.45562389828538,39.539233101569565,22.80191252279133,1.2424947116006706,3.1089348324550343,55.79265684086504,0,3.73,0.2640000000000029,0
57,./playback/STIMULI/chinese/wavFilesTest/BAC009S0147W0304_BAC009S0223W0353_04_73_nspkrs_2.wav,2,2,TEST,0.0,7.977,8.31,19,3.990418716928417,27.24836791582224,35.697095157732235,48.34650663529311,7.48114081554252,0.688933358053589,42.25291119702606,0,4.73,0.3330000000000002,0
94,./playback/STIMULI/chinese/wavFilesTest/BAC009S0703W0422_BAC009S0703W0208_03_52_nspkrs_1.wav,1,1,TEST,0.0,8.092,8.388,19,5.562069735992793,26.44501900800399,27.04108509242502,53.07685681618439,2.2052458562037787,1.873731633377872,28.20800593373217,0,3.52,0.2959999999999994,0
62,./playback/STIMULI/chinese/wavFilesTest/BAC009S0184W0225_BAC009S0660W0219_03_92_nspkrs_2.wav,2,2,TEST,0.0,7.907,8.253,19,2.5995293404950246,40.80715744497643,42.172761873986246,357.66276560210474,3.4810010033094105,5.982830808348666,37.055100176481815,0,3.92,0.3460000000000001,0
21,./playback/STIMULI/chinese/wavFilesTest/BAC009S0060W0354_BAC009S0714W0158_03_64_nspkrs_2.wav,2,2,TEST,0.0,7.348,7.947,19,9.289232317893394,34.23701918153973,35.84225468074894,195.1101202408532,1.5563857558152314,1.6851956397030818,60.20019852603935,0,3.64,0.5990000000000002,0
15,./playback/STIMULI/chinese/wavFilesTest/BAC009S0046W0243_BAC009S0102W0212_03_56_nspkrs_2.wav,2,2,TEST,0.0,7.183,7.473,19,3.5047572481865927,23.900738494955764,26.144663444786183,100.74582543894905,1.9876004756755776,0.02177863568455507,55.116579451955545,0,3.56,0.29000000000000004,0
